   ,STRING,uid,,"Currently authenticated user if available (Apple)"
   ,STRING,user_uuid,,"UUID of authenticated user if available (Apple)"
   ,STRING,encryption_status,,"Disk encryption status with one of following values: encrypted | not encrypted | undefined"
TATTR,
------------------------------
TABLE,disk_events
DESC,Track DMG disk image events (appearance/disappearance) when opened.
   ,STRING,action,,"Appear or disappear"
   ,STRING,path,,"Path of the DMG file accessed"
   ,STRING,name,,"Disk event name"
   ,STRING,device,,"Disk event BSD name"
   ,STRING,uuid,,"UUID of the volume inside DMG if available"
   ,INT64,size,,"Size of partition in bytes"
   ,INT,ejectable,,"1 if ejectable, 0 if not"
   ,INT,mountable,,"1 if mountable, 0 if not"
   ,INT,writable,,"1 if writable, 0 if not"
   ,STRING,content,,"Disk event content"
   ,STRING,media_name,,"Disk event media name string"
   ,STRING,vendor,,"Disk event vendor string"
   ,STRING,filesystem,,"Filesystem if available"
   ,STRING,checksum,,"UDIF Master checksum if available (CRC32)"
   ,INT64,time,,"Time of appearance/disappearance in UNIX time"
   ,STRING,eid,HIDDEN,"Event ID"
CALIAS,device,bsd_name
TATTR,EVENT_BASED,
------------------------------
TABLE,disk_info
DESC,Retrieve basic information about the physical disks of a system.
   ,INT,partitions,,"Number of detected partitions on disk."
   ,INT,disk_index,,"Physical drive number of the disk."
   ,STRING,type,,"The interface type of the disk."
   ,STRING,id,,"The unique identifier of the drive on the system."
   ,STRING,pnp_device_id,,"The unique identifier of the drive on the system."
   ,INT64,disk_size,,"Size of the disk."
   ,STRING,manufacturer,,"The manufacturer of the disk."
   ,STRING,hardware_model,,"Hard drive model."
   ,STRING,name,,"The label of the disk object."
   ,STRING,serial,,"The serial number of the disk."
   ,STRING,description,,"The OS's description of the disk."
TATTR,
------------------------------
TABLE,dns_resolvers
DESC,Resolvers used by this host.
   ,INT,id,,"Address type index or order"
   ,STRING,type,,"Address type: sortlist, nameserver, search"
   ,STRING,address,,"Resolver IP/IPv6 address"
   ,STRING,netmask,,"Address (sortlist) netmask length"
